ref_year,provider_code,code_year,provider_name,citizenship,attrition_rate
2011,1019,1019-2012,James Cook University,Domestic,20.9
2011,1034,1034-2012,Murdoch University,Domestic,17.71
2011,1055,1055-2012,The University of Western Australia,Domestic,8.71
2011,1058,1058-2012,University of Wollongong,Domestic,11.67
2011,2148,2148-2012,The National Institute of Dramatic Art,Domestic,6.25
2011,2154,2154-2012,Federation University Australia,Domestic,19.65
2011,2170,2170-2012,Marcus Oldham College,Domestic,4.96
2011,2177,2177-2012,Swinburne University of Technology,Domestic,16.32
2011,2200,2200-2012,CQUniversity,Domestic,28.08
2011,2201,2201-2012,University of Southern Queensland,Domestic,24.95
2011,2235,2235-2012,Edith Cowan University,Domestic,19.23
2011,2236,2236-2012,Curtin University,Domestic,15.41
2011,2241,2241-2012,University of Canberra,Domestic,15.41
2011,2246,2246-2012,Batchelor Institute of Indigenous Tertiary Education,Domestic,38.22
2011,2252,2252-2012,Avondale College of Higher Education,Domestic,17.53
2011,2271,2271-2012,"Australian Film, Television and Radio School",Domestic,3.07
2011,3001,3001-2012,Charles Darwin University,Domestic,28.82
2011,3003,3003-2012,Bond University,Domestic,10.48
2011,3004,3004-2012,Western Sydney University,Domestic,12.12
2011,3005,3005-2012,Charles Sturt University,Domestic,21.12
2011,3006,3006-2012,Australian Catholic University,Domestic,13.97
2011,3007,3007-2012,Victoria University,Domestic,15.57
2011,3010,3010-2012,The University of Adelaide,Domestic,11.57
2011,3013,3013-2012,University of New South Wales,Domestic,9.39
2011,3014,3014-2012,The University of Newcastle,Domestic,15.78
2011,3016,3016-2012,University of Technology Sydney,Domestic,9.91
2011,3019,3019-2012,The University of Queensland,Domestic,10.45
2011,3020,3020-2012,La Trobe University,Domestic,12.07
2011,3025,3025-2012,Macquarie University,Domestic,12.34
2011,3027,3027-2012,University of South Australia,Domestic,18.87
2011,3029,3029-2012,Flinders University,Domestic,15.96
2011,3030,3030-2012,Deakin University,Domestic,13.91
2011,3032,3032-2012,Griffith University,Domestic,14.64
2011,3033,3033-2012,The Australian National University,Domestic,10.49
2011,3034,3034-2012,RMIT University,Domestic,11.7
2011,3035,3035-2012,Monash University,Domestic,10.22
2011,3036,3036-2012,The University of Melbourne,Domestic,7.72
2011,3038,3038-2012,Southern Cross University,Domestic,23.46
2011,3039,3039-2012,The University of New England,Domestic,21.96
2011,3040,3040-2012,The University of Sydney,Domestic,7.44
2011,3042,3042-2012,Queensland University of Technology,Domestic,11.95
2011,3043,3043-2012,University of the Sunshine Coast,Domestic,20.75
2011,3044,3044-2012,The University of Notre Dame Australia,Domestic,13.34
2011,3045,3045-2012,University of Tasmania,Domestic,24.61
2011,4331,4331-2012,University of Divinity,Domestic,25.19
2011,4332,4332-2012,Sydney College of Divinity,Domestic,30.12
2011,4333,4333-2012,Christian Heritage College,Domestic,24.78
2011,4334,4334-2012,Tabor Adelaide,Domestic,25.91
2011,4335,4335-2012,Australian College of Theology,Domestic,27.04
2011,4336,4336-2012,Australian College of Applied Psychology,Domestic,44.02
2011,4337,4337-2012,Eastern College Australia,Domestic,30.06
2011,4338,4338-2012,Moore Theological College,Domestic,15.57
2011,4339,4339-2012,Holmes Institute,Domestic,45.83
2011,4340,4340-2012,Monash College,Domestic,16.42
2011,4341,4341-2012,Harvest Bible College,Domestic,24.82
2011,4342,4342-2012,Australian Lutheran College,Domestic,36.36
2011,4343,4343-2012,Australian Institute of Music,Domestic,24.54
2011,4344,4344-2012,South Aust Institute of Business & Technology,Domestic,33.5
2011,4346,4346-2012,Excelsia College,Domestic,11.07
2011,4348,4348-2012,Deakin College,Domestic,22.73
2011,4349,4349-2012,Sydney Institute of Business and Technology,Domestic,13.99
2011,4350,4350-2012,Queensland Institute of Business and Technology,Domestic,24.3
2011,4351,4351-2012,Navitas College of Public Safety Pty Ltd,Domestic,30.56
2011,4352,4352-2012,The Australian College of Physical Education,Domestic,25.7
2011,4354,4354-2012,Oceania Polytechnic,Domestic,81.58
2011,4355,4355-2012,Adelaide College of Divinity,Domestic,23.91
2011,4357,4357-2012,Blue Mountains Intl Hotel Management School,Domestic,14.08
2011,4358,4358-2012,East Coast Gestalt Training Incorporated,Domestic,69.23
2011,4359,4359-2012,The College of Law,Domestic,13.74
2011,4360,4360-2012,Perth Bible College,Domestic,45.45
2011,4361,4361-2012,Endeavour College of Natural Health,Domestic,37.45
2011,4362,4362-2012,International College of Hotel Management,Domestic,0
2011,4363,4363-2012,Northern Melbourne Institute of TAFE,Domestic,29.86
2011,4364,4364-2012,Edith Cowan College,Domestic,13.04
2011,4365,4365-2012,Curtin College,Domestic,17.76
2011,4366,4366-2012,Box Hill Institute,Domestic,24.05
2011,4367,4367-2012,Melbourne Institute of Technology,Domestic,29.71
2011,4368,4368-2012,Campion College,Domestic,4.35
2011,4370,4370-2012,Tabor College Tasmania,Domestic,36.96
2011,4371,4371-2012,SAE Creative Media Institute,Domestic,27.24
2011,4372,4372-2012,The Gordon,Domestic,0
2011,4373,4373-2012,Jansen Newman Institute Pty. Limited,Domestic,50
2011,4374,4374-2012,Carnegie Mellon University Australia,Domestic,0
2011,4375,4375-2012,Think: Colleges Pty Ltd,Domestic,36.16
2011,4377,4377-2012,UOW College,Domestic,27.59
2011,4378,4378-2012,JMC Academy,Domestic,29.19
2011,4380,4380-2012,UTS:INSEARCH,Domestic,12.08
2011,4381,4381-2012,"International College of Management, Sydney",Domestic,17.55
